,id_vente,id_produit,id_client,date_vente,quantite,montant_total,nom_produit,categorie,prix_unitaire,nom_client,email,mois_annee
0,1,1,5,2024-11-21T00:00:00.000,2,1999.98,Laptop,Électronique,999.99,Kirua Zoldik,,2024-11
1,2,4,3,2024-06-15T00:00:00.000,3,179.97,Aspirateur,Électroménager,59.99,Natsu Dragnir,natsudragnir18@gmail.com,2024-06
2,3,1,6,2025-02-01T00:00:00.000,2,1999.98,Laptop,Électronique,999.99,Gon Freecss,,2025-02
3,4,2,7,2025-01-11T00:00:00.000,3,59.97,T-shirt,Vêtements,19.99,Goten,,2025-01
4,5,7,7,2024-09-10T00:00:00.000,1,55.32,Sabre,Arme Blanche,55.32,Goten,,2024-09
5,6,1,8,2025-01-04T00:00:00.000,3,2999.9700000000003,Laptop,Électronique,999.99,Trunks,,2025-01
6,7,6,6,2024-04-29T00:00:00.000,1,699.99,Smartphone,Électronique,699.99,Gon Freecss,,2024-04
7,8,4,3,2024-11-23T00:00:00.000,2,119.98,Aspirateur,Électroménager,59.99,Natsu Dragnir,natsudragnir18@gmail.com,2024-11
8,9,1,3,2025-02-07T00:00:00.000,3,2999.9700000000003,Laptop,Électronique,999.99,Natsu Dragnir,natsudragnir18@gmail.com,2025-02
9,10,7,7,2024-08-29T00:00:00.000,2,110.64,Sabre,Arme Blanche,55.32,Goten,,2024-08
10,11,6,2,2024-11-30T00:00:00.000,1,699.99,Smartphone,Électronique,699.99,Byakuya Kuchiki,byakuyakuchiki750@gmail.com,2024-11
11,12,5,6,2024-04-11T00:00:00.000,2,25.12,Dictionnaire,Culture,12.56,Gon Freecss,,2024-04
12,13,5,2,2024-09-30T00:00:00.000,3,37.68,Dictionnaire,Culture,12.56,Byakuya Kuchiki,byakuyakuchiki750@gmail.com,2024-09
13,14,2,9,2024-08-18T00:00:00.000,3,59.97,T-shirt,Vêtements,19.99,Naruto Uzumaki,narutouzumaki32@example.com,2024-08
14,15,2,1,2025-01-06T00:00:00.000,2,39.98,T-shirt,Vêtements,19.99,Kenpachi Zaraki,kenpachizaraki1700@gmail.com,2025-01
15,16,4,9,2024-10-31T00:00:00.000,2,119.98,Aspirateur,Électroménager,59.99,Naruto Uzumaki,narutouzumaki32@example.com,2024-10
16,17,2,2,2024-10-30T00:00:00.000,3,59.97,T-shirt,Vêtements,19.99,Byakuya Kuchiki,byakuyakuchiki750@gmail.com,2024-10
17,18,5,8,2024-10-24T00:00:00.000,3,37.68,Dictionnaire,Culture,12.56,Trunks,,2024-10
18,19,4,4,2024-08-10T00:00:00.000,1,59.99,Aspirateur,Électroménager,59.99,Grey Fullbuster,greyfullbuster18@gmail.com,2024-08
19,20,3,6,2024-04-24T00:00:00.000,1,17.66,Polo,Vêtements,17.66,Gon Freecss,,2024-04
20,21,1,2,2024-12-29T00:00:00.000,1,999.99,Laptop,Électronique,999.99,Byakuya Kuchiki,byakuyakuchiki750@gmail.com,2024-12
21,22,2,4,2024-08-29T00:00:00.000,2,39.98,T-shirt,Vêtements,19.99,Grey Fullbuster,greyfullbuster18@gmail.com,2024-08
22,23,7,5,2024-06-14T00:00:00.000,1,55.32,Sabre,Arme Blanche,55.32,Kirua Zoldik,,2024-06
23,24,6,7,2025-03-27T00:00:00.000,1,699.99,Smartphone,Électronique,699.99,Goten,,2025-03
24,25,7,8,2025-02-22T00:00:00.000,3,165.96,Sabre,Arme Blanche,55.32,Trunks,,2025-02
25,26,7,7,2024-09-06T00:00:00.000,2,110.64,Sabre,Arme Blanche,55.32,Goten,,2024-09
26,27,2,7,2025-03-15T00:00:00.000,3,59.97,T-shirt,Vêtements,19.99,Goten,,2025-03
27,28,4,9,2024-06-21T00:00:00.000,3,179.97,Aspirateur,Électroménager,59.99,Naruto Uzumaki,narutouzumaki32@example.com,2024-06
28,29,7,2,2024-08-11T00:00:00.000,1,55.32,Sabre,Arme Blanche,55.32,Byakuya Kuchiki,byakuyakuchiki750@gmail.com,2024-08
29,30,1,7,2025-01-31T00:00:00.000,2,1999.98,Laptop,Électronique,999.99,Goten,,2025-01
30,31,4,2,2024-08-02T00:00:00.000,1,59.99,Aspirateur,Électroménager,59.99,Byakuya Kuchiki,byakuyakuchiki750@gmail.com,2024-08
31,32,2,4,2025-04-03T00:00:00.000,1,19.99,T-shirt,Vêtements,19.99,Grey Fullbuster,greyfullbuster18@gmail.com,2025-04
32,33,6,4,2024-10-21T00:00:00.000,1,699.99,Smartphone,Électronique,699.99,Grey Fullbuster,greyfullbuster18@gmail.com,2024-10
33,34,6,8,2024-05-04T00:00:00.000,3,2099.9700000000003,Smartphone,Électronique,699.99,Trunks,,2024-05
34,35,6,7,2025-03-25T00:00:00.000,2,1399.98,Smartphone,Électronique,699.99,Goten,,2025-03
35,36,7,4,2025-01-07T00:00:00.000,2,110.64,Sabre,Arme Blanche,55.32,Grey Fullbuster,greyfullbuster18@gmail.com,2025-01
36,37,2,8,2024-12-07T00:00:00.000,3,59.97,T-shirt,Vêtements,19.99,Trunks,,2024-12
37,38,2,7,2024-10-16T00:00:00.000,1,19.99,T-shirt,Vêtements,19.99,Goten,,2024-10
38,39,2,6,2024-07-02T00:00:00.000,2,39.98,T-shirt,Vêtements,19.99,Gon Freecss,,2024-07
39,40,7,4,2025-01-14T00:00:00.000,3,165.96,Sabre,Arme Blanche,55.32,Grey Fullbuster,greyfullbuster18@gmail.com,2025-01
40,41,1,10,2024-12-09T00:00:00.000,1,999.99,Laptop,Électronique,999.99,Sasuke Uchiha,sasukeuchiha32@gmail.com,2024-12
41,42,2,3,2024-11-25T00:00:00.000,1,19.99,T-shirt,Vêtements,19.99,Natsu Dragnir,natsudragnir18@gmail.com,2024-11
42,43,7,7,2024-07-18T00:00:00.000,1,55.32,Sabre,Arme Blanche,55.32,Goten,,2024-07
43,44,1,5,2024-10-29T00:00:00.000,3,2999.9700000000003,Laptop,Électronique,999.99,Kirua Zoldik,,2024-10
44,45,1,4,2024-12-05T00:00:00.000,2,1999.98,Laptop,Électronique,999.99,Grey Fullbuster,greyfullbuster18@gmail.com,2024-12
45,46,6,1,2024-07-14T00:00:00.000,1,699.99,Smartphone,Électronique,699.99,Kenpachi Zaraki,kenpachizaraki1700@gmail.com,2024-07
46,47,3,10,2024-06-10T00:00:00.000,3,52.980000000000004,Polo,Vêtements,17.66,Sasuke Uchiha,sasukeuchiha32@gmail.com,2024-06
47,48,2,5,2025-03-25T00:00:00.000,1,19.99,T-shirt,Vêtements,19.99,Kirua Zoldik,,2025-03
48,49,7,2,2024-05-15T00:00:00.000,3,165.96,Sabre,Arme Blanche,55.32,Byakuya Kuchiki,byakuyakuchiki750@gmail.com,2024-05
49,50,4,9,2025-02-10T00:00:00.000,2,119.98,Aspirateur,Électroménager,59.99,Naruto Uzumaki,narutouzumaki32@example.com,2025-02
50,51,6,5,2024-06-22T00:00:00.000,3,2099.9700000000003,Smartphone,Électronique,699.99,Kirua Zoldik,,2024-06
51,52,7,7,2024-06-09T00:00:00.000,3,165.96,Sabre,Arme Blanche,55.32,Goten,,2024-06
52,53,5,6,2025-01-17T00:00:00.000,2,25.12,Dictionnaire,Culture,12.56,Gon Freecss,,2025-01
53,54,2,4,2024-07-04T00:00:00.000,2,39.98,T-shirt,Vêtements,19.99,Grey Fullbuster,greyfullbuster18@gmail.com,2024-07
54,55,7,1,2024-12-05T00:00:00.000,1,55.32,Sabre,Arme Blanche,55.32,Kenpachi Zaraki,kenpachizaraki1700@gmail.com,2024-12
55,56,6,2,2024-11-26T00:00:00.000,2,1399.98,Smartphone,Électronique,699.99,Byakuya Kuchiki,byakuyakuchiki750@gmail.com,2024-11
56,57,2,1,2024-10-24T00:00:00.000,3,59.97,T-shirt,Vêtements,19.99,Kenpachi Zaraki,kenpachizaraki1700@gmail.com,2024-10
57,58,4,10,2024-11-17T00:00:00.000,3,179.97,Aspirateur,Électroménager,59.99,Sasuke Uchiha,sasukeuchiha32@gmail.com,2024-11
58,59,2,2,2025-01-15T00:00:00.000,2,39.98,T-shirt,Vêtements,19.99,Byakuya Kuchiki,byakuyakuchiki750@gmail.com,2025-01
59,60,4,8,2024-06-08T00:00:00.000,1,59.99,Aspirateur,Électroménager,59.99,Trunks,,2024-06
60,61,7,2,2024-06-22T00:00:00.000,1,55.32,Sabre,Arme Blanche,55.32,Byakuya Kuchiki,byakuyakuchiki750@gmail.com,2024-06
61,62,5,4,2025-01-12T00:00:00.000,1,12.56,Dictionnaire,Culture,12.56,Grey Fullbuster,greyfullbuster18@gmail.com,2025-01
62,63,2,7,2025-03-23T00:00:00.000,3,59.97,T-shirt,Vêtements,19.99,Goten,,2025-03
63,64,4,5,2024-10-12T00:00:00.000,3,179.97,Aspirateur,Électroménager,59.99,Kirua Zoldik,,2024-10
64,65,7,8,2024-10-08T00:00:00.000,2,110.64,Sabre,Arme Blanche,55.32,Trunks,,2024-10
65,66,3,2,2024-08-28T00:00:00.000,2,35.32,Polo,Vêtements,17.66,Byakuya Kuchiki,byakuyakuchiki750@gmail.com,2024-08
66,67,2,3,2024-07-21T00:00:00.000,2,39.98,T-shirt,Vêtements,19.99,Natsu Dragnir,natsudragnir18@gmail.com,2024-07
67,68,5,5,2025-02-04T00:00:00.000,3,37.68,Dictionnaire,Culture,12.56,Kirua Zoldik,,2025-02
68,69,5,7,2024-05-25T00:00:00.000,3,37.68,Dictionnaire,Culture,12.56,Goten,,2024-05
69,70,6,10,2025-03-06T00:00:00.000,3,2099.9700000000003,Smartphone,Électronique,699.99,Sasuke Uchiha,sasukeuchiha32@gmail.com,2025-03
70,71,5,10,2025-02-19T00:00:00.000,2,25.12,Dictionnaire,Culture,12.56,Sasuke Uchiha,sasukeuchiha32@gmail.com,2025-02
71,72,4,6,2024-04-26T00:00:00.000,2,119.98,Aspirateur,Électroménager,59.99,Gon Freecss,,2024-04
72,73,5,3,2024-12-02T00:00:00.000,1,12.56,Dictionnaire,Culture,12.56,Natsu Dragnir,natsudragnir18@gmail.com,2024-12
73,74,4,5,2024-08-29T00:00:00.000,2,119.98,Aspirateur,Électroménager,59.99,Kirua Zoldik,,2024-08
74,75,7,2,2025-01-16T00:00:00.000,1,55.32,Sabre,Arme Blanche,55.32,Byakuya Kuchiki,byakuyakuchiki750@gmail.com,2025-01
75,76,5,2,2024-04-18T00:00:00.000,2,25.12,Dictionnaire,Culture,12.56,Byakuya Kuchiki,byakuyakuchiki750@gmail.com,2024-04
76,77,3,4,2025-03-13T00:00:00.000,2,35.32,Polo,Vêtements,17.66,Grey Fullbuster,greyfullbuster18@gmail.com,2025-03
77,78,3,1,2024-06-24T00:00:00.000,3,52.980000000000004,Polo,Vêtements,17.66,Kenpachi Zaraki,kenpachizaraki1700@gmail.com,2024-06
78,79,6,1,2024-08-06T00:00:00.000,2,1399.98,Smartphone,Électronique,699.99,Kenpachi Zaraki,kenpachizaraki1700@gmail.com,2024-08
79,80,4,5,2024-12-30T00:00:00.000,3,179.97,Aspirateur,Électroménager,59.99,Kirua Zoldik,,2024-12
80,81,4,2,2024-09-21T00:00:00.000,2,119.98,Aspirateur,Électroménager,59.99,Byakuya Kuchiki,byakuyakuchiki750@gmail.com,2024-09
81,82,6,1,2024-09-03T00:00:00.000,1,699.99,Smartphone,Électronique,699.99,Kenpachi Zaraki,kenpachizaraki1700@gmail.com,2024-09
82,83,2,3,2024-07-06T00:00:00.000,1,19.99,T-shirt,Vêtements,19.99,Natsu Dragnir,natsudragnir18@gmail.com,2024-07
83,84,5,10,2025-03-02T00:00:00.000,3,37.68,Dictionnaire,Culture,12.56,Sasuke Uchiha,sasukeuchiha32@gmail.com,2025-03
84,85,7,7,2024-11-02T00:00:00.000,3,165.96,Sabre,Arme Blanche,55.32,Goten,,2024-11
85,86,1,8,2024-05-30T00:00:00.000,2,1999.98,Laptop,Électronique,999.99,Trunks,,2024-05
86,87,6,1,2024-09-06T00:00:00.000,2,1399.98,Smartphone,Électronique,699.99,Kenpachi Zaraki,kenpachizaraki1700@gmail.com,2024-09
87,88,7,9,2024-10-02T00:00:00.000,2,110.64,Sabre,Arme Blanche,55.32,Naruto Uzumaki,narutouzumaki32@example.com,2024-10
88,89,6,2,2024-07-13T00:00:00.000,2,1399.98,Smartphone,Électronique,699.99,Byakuya Kuchiki,byakuyakuchiki750@gmail.com,2024-07
89,90,5,3,2024-04-29T00:00:00.000,3,37.68,Dictionnaire,Culture,12.56,Natsu Dragnir,natsudragnir18@gmail.com,2024-04
90,91,3,3,2024-12-03T00:00:00.000,2,35.32,Polo,Vêtements,17.66,Natsu Dragnir,natsudragnir18@gmail.com,2024-12
91,92,3,10,2024-11-09T00:00:00.000,2,35.32,Polo,Vêtements,17.66,Sasuke Uchiha,sasukeuchiha32@gmail.com,2024-11
92,93,5,3,2024-05-24T00:00:00.000,2,25.12,Dictionnaire,Culture,12.56,Natsu Dragnir,natsudragnir18@gmail.com,2024-05
93,94,2,2,2024-09-09T00:00:00.000,2,39.98,T-shirt,Vêtements,19.99,Byakuya Kuchiki,byakuyakuchiki750@gmail.com,2024-09
94,95,5,1,2024-11-20T00:00:00.000,2,25.12,Dictionnaire,Culture,12.56,Kenpachi Zaraki,kenpachizaraki1700@gmail.com,2024-11
95,96,6,7,2024-08-08T00:00:00.000,1,699.99,Smartphone,Électronique,699.99,Goten,,2024-08
