id_vente,id_produit,id_client,date_vente,quantite,montant_total,nom_produit,categorie,prix_unitaire,nom_client,email
1,1,5,2024-11-21,2,1999.98,Laptop,Électronique,999.99,Kirua Zoldik,
2,4,3,2024-06-15,3,179.97,Aspirateur,Électroménager,59.99,Natsu Dragnir,natsudragnir18@gmail.com
3,1,6,2025-02-01,2,1999.98,Laptop,Électronique,999.99,Gon Freecss,
4,2,7,2025-01-11,3,59.97,T-shirt,Vêtements,19.99,Goten,
5,7,7,2024-09-10,1,55.32,Sabre,Arme Blanche,55.32,Goten,
6,1,8,2025-01-04,3,2999.9700000000003,Laptop,Électronique,999.99,Trunks,
7,6,6,2024-04-29,1,699.99,Smartphone,Électronique,699.99,Gon Freecss,
8,4,3,2024-11-23,2,119.98,Aspirateur,Électroménager,59.99,Natsu Dragnir,natsudragnir18@gmail.com
9,1,3,2025-02-07,3,2999.9700000000003,Laptop,Électronique,999.99,Natsu Dragnir,natsudragnir18@gmail.com
10,7,7,2024-08-29,2,110.64,Sabre,Arme Blanche,55.32,Goten,
11,6,2,2024-11-30,1,699.99,Smartphone,Électronique,699.99,Byakuya Kuchiki,byakuyakuchiki750@gmail.com
12,5,6,2024-04-11,2,25.12,Dictionnaire,Culture,12.56,Gon Freecss,
13,5,2,2024-09-30,3,37.68,Dictionnaire,Culture,12.56,Byakuya Kuchiki,byakuyakuchiki750@gmail.com
14,2,9,2024-08-18,3,59.97,T-shirt,Vêtements,19.99,Naruto Uzumaki,narutouzumaki32@example.com
15,2,1,2025-01-06,2,39.98,T-shirt,Vêtements,19.99,Kenpachi Zaraki,kenpachizaraki1700@gmail.com
16,4,9,2024-10-31,2,119.98,Aspirateur,Électroménager,59.99,Naruto Uzumaki,narutouzumaki32@example.com
17,2,2,2024-10-30,3,59.97,T-shirt,Vêtements,19.99,Byakuya Kuchiki,byakuyakuchiki750@gmail.com
18,5,8,2024-10-24,3,37.68,Dictionnaire,Culture,12.56,Trunks,
19,4,4,2024-08-10,1,59.99,Aspirateur,Électroménager,59.99,Grey Fullbuster,greyfullbuster18@gmail.com
20,3,6,2024-04-24,1,17.66,Polo,Vêtements,17.66,Gon Freecss,
21,1,2,2024-12-29,1,999.99,Laptop,Électronique,999.99,Byakuya Kuchiki,byakuyakuchiki750@gmail.com
22,2,4,2024-08-29,2,39.98,T-shirt,Vêtements,19.99,Grey Fullbuster,greyfullbuster18@gmail.com
23,7,5,2024-06-14,1,55.32,Sabre,Arme Blanche,55.32,Kirua Zoldik,
24,6,7,2025-03-27,1,699.99,Smartphone,Électronique,699.99,Goten,
25,7,8,2025-02-22,3,165.96,Sabre,Arme Blanche,55.32,Trunks,
26,7,7,2024-09-06,2,110.64,Sabre,Arme Blanche,55.32,Goten,
27,2,7,2025-03-15,3,59.97,T-shirt,Vêtements,19.99,Goten,
28,4,9,2024-06-21,3,179.97,Aspirateur,Électroménager,59.99,Naruto Uzumaki,narutouzumaki32@example.com
29,7,2,2024-08-11,1,55.32,Sabre,Arme Blanche,55.32,Byakuya Kuchiki,byakuyakuchiki750@gmail.com
30,1,7,2025-01-31,2,1999.98,Laptop,Électronique,999.99,Goten,
31,4,2,2024-08-02,1,59.99,Aspirateur,Électroménager,59.99,Byakuya Kuchiki,byakuyakuchiki750@gmail.com
32,2,4,2025-04-03,1,19.99,T-shirt,Vêtements,19.99,Grey Fullbuster,greyfullbuster18@gmail.com
33,6,4,2024-10-21,1,699.99,Smartphone,Électronique,699.99,Grey Fullbuster,greyfullbuster18@gmail.com
